TestSite,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
GRN;101;2013,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;216;2009,SXM;216;2011,,,,,,,,,,
GRN;16;2006,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,,,
GRN;16;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,,,
GRN;16;2013,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,,,
GRN;19;2006,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,,,,,,,,,
GRN;20;2006,SXM;30;2005,SXM;30;2009,SXM;30;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,,,,,,,,,
GRN;20;2009,SXM;30;2005,SXM;30;2009,SXM;30;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,,,,,,,,,
GRN;20;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,,,,,,,,,
GRN;20;2013,SXM;30;2005,SXM;30;2009,SXM;30;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,,,,,,,,,
GRN;27;2007,SXM;30;2005,SXM;30;2009,SXM;30;2011,BRO;196;2007,BRO;196;2010,BRO;196;2012,SXM;63;2005,SXM;63;2007,SXM;63;2008,SXM;63;2009,SXM;63;2011,,,,,,,,,
GRN;27;2008,GRN;28;2006,GRN;28;2009,GRN;28;2011,SXM;30;2005,SXM;30;2009,SXM;30;2011,SXM;216;2009,SXM;216;2011,BRO;21;2007,BRO;21;2010,SXM;151;2005,SXM;151;2009,SXM;151;2011,,,,,,,
GRN;27;2009,BRO;129;2007,BRO;129;2010,BRO;129;2012,SXM;40;2005,SXM;40;2009,SXM;40;2011,SXM;107;2005,SXM;107;2009,SXM;107;2011,SHL;49;2008,SHL;49;2010,SHL;49;2012,SHL;49;2014,BRO;243;2007,BRO;243;2010,BRO;243;2012,,,,
